Kommentardatum,Kommentieren
"28.10.2018, 20:05:24",Good Job!
"24.05.2019, 13:43:03",Naja ich müsste eigentlich mal mehr längere Strecken machen...hab aber wenig Zeit
"07.07.2019, 20:46:28",Starke Zeit!
"25.08.2019, 16:23:18",Schwimmen ist echt nicht mein Ding...was soll man machen mit Entzündung an der Fußsehne...😭
"22.03.2020, 12:51:46",Ich komme gerade langsam von einem faserriss in der Wade zurücl
"22.03.2020, 12:53:11",Bin froh dass es überhaupt wieder geht
"15.08.2020, 18:47:25",Arno das ist Wahnsinn 
"26.09.2020, 18:08:31",Apple TV crashed...
"26.11.2020, 16:48:54",Bei dir ist halt auch immer top Wetter!
"02.12.2020, 22:26:51",Nice!
"28.02.2021, 18:20:59",Scott! Finally trail running got you as well!
"21.03.2021, 19:45:04",Wo sind da denn 300 hm?
"03.04.2021, 17:17:05",Ne sollte schon fully sein
"05.04.2021, 17:24:35", Brutal!
"14.04.2021, 20:50:39",Sehr cool!
"23.04.2021, 13:46:59",Good pace!
"20.05.2021, 05:46:00",I miss SB!
"30.05.2021, 16:41:57",Im Keller wäre das nicht passiert 🤣
"09.06.2021, 20:41:40",Schön hält der Fuß wieder?
"09.06.2021, 20:55:59",Dann lass uns mal wieder ne Runde drehen! Oder ich starte eine challenge:-)
"11.07.2021, 20:00:51",Das hättest du auch rennen können!
"13.08.2021, 12:34:32",Kaum ist der Bühler nicht dabei läuft‘s schneller 😭🤣
"15.08.2021, 11:15:44",Das dachte ich auch. Wir lassen es auch ruhiger angehen 👍
"03.01.2022, 19:36:47",Crazy Glückwunsch 🎈🎊 
"02.02.2022, 14:04:30",Cool endlich das Laufband!
"21.02.2022, 13:20:56",It was indeed! I added some pics 
"18.09.2022, 18:02:34",Stark Clemens! Karlsruhe Halbmarathon?
"25.09.2022, 09:53:41",You ready?
"18.12.2022, 22:09:14",Scott Schwisow let me know when you are in town!
"24.03.2023, 19:32:37",Ihr seid ja verrückt 
"23.04.2023, 15:57:08",Sehr stark!
"01.06.2023, 10:39:35",Großprojekt steht bevor. Muss Last aufs System!
"01.06.2023, 10:42:29",In 10 Tagen von Speyer bis ins Kleinwalsertal unsupported
"01.06.2023, 10:46:56",400km also ca 40 am Tag (aber auch mit hiken)
"02.12.2023, 14:29:46",Mega Zeit!
"25.12.2023, 22:58:00",Starke Leistung 🤣
"04.07.2024, 19:46:53",Mega Leistung!
"28.09.2025, 22:24:24",Geisteskrank geil!
