ID des Abonnent-Sportlers,Folgestatus,Favoritenstatus
178016996,Akzeptiert,""
149074063,Ausstehend,""
47818031,Ausstehend,""
24044546,Ausstehend,""
4696477,Ausstehend,""
146070422,Ausstehend,""
172807900,Ausstehend,""
147902566,Ausstehend,""
35377303,Ausstehend,""
20174424,Akzeptiert,""
95460363,Akzeptiert,""
103539745,Akzeptiert,""
118349768,Akzeptiert,""
587495,Akzeptiert,""
17165915,Akzeptiert,""
92893351,Akzeptiert,""
47876818,Akzeptiert,""
31723912,Akzeptiert,""
107260772,Akzeptiert,""
96350619,Akzeptiert,""
59548483,Akzeptiert,""
122064187,Akzeptiert,""
81287445,Akzeptiert,""
837199,Akzeptiert,""
104087246,Akzeptiert,""
14841967,Akzeptiert,""
113441260,Akzeptiert,""
16892112,Akzeptiert,""
12582849,Akzeptiert,""
25364702,Akzeptiert,""
44128602,Akzeptiert,""
18805079,Akzeptiert,""
90830076,Akzeptiert,""
101605383,Akzeptiert,""
20001399,Akzeptiert,""
42805592,Akzeptiert,""
66135328,Akzeptiert,""
77843179,Akzeptiert,""
98372063,Akzeptiert,""
41697620,Akzeptiert,""
78704358,Akzeptiert,""
91960896,Akzeptiert,""
82461418,Akzeptiert,""
82674876,Akzeptiert,""
28421512,Akzeptiert,""
15996996,Akzeptiert,""
73891769,Akzeptiert,""
3537953,Akzeptiert,""
82556993,Akzeptiert,""
80697414,Akzeptiert,""
71635500,Akzeptiert,""
16864101,Akzeptiert,""
59432924,Akzeptiert,""
17311988,Akzeptiert,""
74726452,Akzeptiert,""
26011985,Akzeptiert,""
73215450,Akzeptiert,""
33931702,Akzeptiert,""
74798414,Akzeptiert,""
62253366,Akzeptiert,""
52067190,Akzeptiert,""
17746266,Akzeptiert,""
7296523,Akzeptiert,""
71061801,Akzeptiert,Aktivitäten im Feed hervorheben | Aktivitätsbenachrichtigungen nach Upload abonniert
51232751,Akzeptiert,""
22198041,Akzeptiert,""
57656494,Akzeptiert,""
4696073,Akzeptiert,""
62439335,Akzeptiert,Aktivitäten im Feed hervorheben | Aktivitätsbenachrichtigungen nach Upload abonniert
23857393,Akzeptiert,""
38632154,Akzeptiert,""
48112869,Akzeptiert,""
58818791,Akzeptiert,""
49365463,Akzeptiert,""
56022456,Akzeptiert,""
38146961,Akzeptiert,""
41193583,Akzeptiert,""
47827768,Akzeptiert,""
7405499,Akzeptiert,""
35304014,Akzeptiert,""
4433748,Akzeptiert,""
19505220,Akzeptiert,""
558925,Akzeptiert,""
7211272,Akzeptiert,""
43326395,Akzeptiert,""
10811155,Akzeptiert,""
16656390,Akzeptiert,""
24270850,Akzeptiert,""
1667977,Akzeptiert,""
