ID des zu folgenden Sportlers,Folgestatus,Favoritenstatus
178016996,Akzeptiert,""
95460363,Akzeptiert,""
122064187,Akzeptiert,""
6021015,Akzeptiert,""
31723912,Akzeptiert,""
23708131,Akzeptiert,""
106170383,Ausstehend,""
96350619,Akzeptiert,""
13185267,Akzeptiert,""
16892112,Akzeptiert,""
26934035,Akzeptiert,""
90830076,Akzeptiert,""
4333333,Akzeptiert,""
41697620,Akzeptiert,""
5457036,Akzeptiert,""
184950,Akzeptiert,""
14273781,Akzeptiert,""
5452411,Akzeptiert,""
4789588,Akzeptiert,""
9893449,Akzeptiert,""
22889768,Akzeptiert,""
15996996,Akzeptiert,""
91960896,Akzeptiert,""
62253366,Akzeptiert,""
25034539,Akzeptiert,""
80697414,Akzeptiert,""
8741810,Ausstehend,""
82461418,Akzeptiert,""
82674876,Akzeptiert,""
73891769,Akzeptiert,""
74726452,Akzeptiert,""
7296523,Akzeptiert,""
51145065,Akzeptiert,""
71061801,Akzeptiert,""
7878613,Akzeptiert,""
22198041,Akzeptiert,""
8482648,Akzeptiert,""
38146961,Akzeptiert,""
62439335,Akzeptiert,""
23857393,Akzeptiert,""
52779288,Akzeptiert,""
26011985,Akzeptiert,""
38632154,Akzeptiert,""
41193583,Akzeptiert,""
48112869,Akzeptiert,""
58818791,Akzeptiert,""
49365463,Akzeptiert,""
52067190,Akzeptiert,""
56022456,Akzeptiert,""
1635688,Akzeptiert,""
10262864,Akzeptiert,""
8784888,Akzeptiert,""
1978932,Akzeptiert,""
35304014,Akzeptiert,""
19505220,Akzeptiert,""
7405499,Akzeptiert,""
44128602,Akzeptiert,""
30772034,Akzeptiert,""
558925,Akzeptiert,""
21162297,Akzeptiert,""
43326395,Akzeptiert,""
7211272,Akzeptiert,""
10811155,Akzeptiert,""
16656390,Akzeptiert,""
19758595,Akzeptiert,""
1667977,Akzeptiert,""
17311988,Akzeptiert,""
4433748,Akzeptiert,""
24270850,Akzeptiert,""
4996502,Akzeptiert,""
