Beitrittsdatum,Name,Abgeschlossen
"27.09.2018, 17:35:14",October Running Distance Challenge,false
"27.09.2018, 17:35:16",October Half Marathon,false
"07.10.2018, 19:12:47",Brooks Outrun Yourself,true
"07.10.2018, 19:13:02",October Run Climbing Challenge,false
"26.05.2019, 09:41:14",Stuttgart Lauf Halbmarathon,true
"26.08.2019, 11:25:55",September Half Marathon,false
"25.01.2020, 19:33:53",February Half Marathon,false
"27.03.2020, 13:28:14",April Half Marathon,true
"27.03.2020, 13:28:20",April 5K,true
"27.03.2020, 13:28:23",April Running Distance Challenge,true
"27.03.2020, 13:28:25",April 10K,true
"28.03.2020, 16:22:23",March Half Marathon,false
"27.04.2020, 13:23:56",May Half Marathon,true
"27.04.2020, 13:24:01",May 10K,true
"27.04.2020, 13:24:03",May 5K,true
"27.04.2020, 13:24:05",May Running Distance Challenge,false
"05.06.2020, 09:38:15",June Half Marathon,true
"07.06.2020, 10:43:52",June Running Distance Challenge,false
"03.08.2020, 18:54:53",August Gran Fondo,false
"11.08.2020, 11:43:07",August Cycling Distance Challenge,false
"25.08.2020, 09:40:52",August 5K,true
"29.08.2020, 15:00:17",August Cycling Challenge,false
"01.09.2020, 11:29:09",The Gatorade Mode 50K Challenge,false
"03.09.2020, 08:31:00",September Run Climbing Challenge,false
"03.09.2020, 08:31:06",September Cycling Distance Challenge,false
"03.09.2020, 08:31:11",September Half Marathon,false
"25.09.2020, 20:00:11",October Walk Challenge,false
"25.09.2020, 20:00:12",October Run Climbing Challenge,false
"25.09.2020, 20:00:13",October Cycling Endurance Challenge,false
"25.09.2020, 20:00:15",October Running Distance Challenge,false
"25.09.2020, 20:00:17",October 10K,true
"25.09.2020, 20:00:20",October Half Marathon,false
"25.09.2020, 20:00:22",October 5K,true
"25.09.2020, 20:00:23",October Running Endurance Challenge,false
"25.09.2020, 20:00:26",October Running Challenge,false
"25.09.2020, 20:00:39",October Cycling Climbing Challenge,false
"25.09.2020, 20:00:43",October Gran Fondo,false
"25.09.2020, 20:00:46",October Cycling Distance Challenge,false
"25.09.2020, 20:00:47",October Cycling Challenge,false
"30.09.2020, 18:46:34",Le Col Giro Challenge,false
"04.10.2020, 12:36:16",FuturumShop Autumn240 Challenge,true
"04.10.2020, 12:37:30",The Sur Six,false
"04.10.2020, 12:37:31",66ºNorth Iceland Challenge,false
"04.10.2020, 12:37:34",Black Sheep ONE:5,false
"04.10.2020, 12:37:36",2020 Walk for Hope Wellness Challenge,true
"04.10.2020, 12:37:46",Red Bull Timelaps,false
"04.10.2020, 12:37:51",2020 Children's Rights Challenge,false
"04.10.2020, 12:37:53","Krombacher o,0% Giro Challenge",false
"04.10.2020, 12:37:59",Nedbank Runified 21km Challenge,false
"07.10.2020, 09:14:15",Livestrong Virtual Challenge,false
"27.10.2020, 16:50:03",November Half Marathon,false
"27.10.2020, 16:50:07",November 10K,true
"27.10.2020, 16:50:09",November Running Distance Challenge,false
"27.10.2020, 16:50:11",November 5K,true
"28.10.2020, 11:01:37",November Run Climbing Challenge,false
"28.10.2020, 11:01:40",November Favorite Way 400K,true
"28.10.2020, 11:01:43",November Running Endurance Challenge,false
"28.10.2020, 11:01:44",November Running Challenge,false
"28.10.2020, 11:01:46",November Gran Fondo,false
"28.10.2020, 11:01:48",November Cycling Challenge,false
"28.10.2020, 11:01:50",November Cycling Endurance Challenge,false
"28.10.2020, 11:01:51",November Cycling Climbing Challenge,false
"30.10.2020, 07:35:23",Strava Japan Club 11月のRIDEチャレンジ,false
"30.10.2020, 07:35:24",Strava Japan Club 11月のRUNチャレンジ,false
"30.10.2020, 07:35:27",Last of the Light,true
"30.10.2020, 07:35:29",The November Project Summit Streak presented by Brooks,false
"30.10.2020, 07:35:33",ODLO Be Aware of What You Wear,true
"30.10.2020, 07:35:36",Race to the Polls with POW,true
"30.10.2020, 07:35:37",Corporate Virtual Run,true
"30.10.2020, 07:35:40",Werde UNICEF Lebensläufer,true
"30.10.2020, 07:35:42",Move in Merino by Woolmark,false
"30.10.2020, 07:35:44",Velocio: A Better Way Every Day,false
"30.10.2020, 07:35:46",Strava Japan Club 10月のRIDEチャレンジ,false
"30.10.2020, 07:35:47",Strava Japan Club 10月のRUNチャレンジ,false
"30.10.2020, 07:35:49",KOHLER Run for Safe Water,true
"30.10.2020, 07:35:50",Bose Frames Tempo Challenge,true
"30.10.2020, 07:35:53",Exercise Your Right To Vote with Picky Bars,true
"30.10.2020, 08:57:16",Thankful Turkey 5K by All Community Events,true
"30.10.2020, 08:57:25",The ROKA N+1 Challenge,true
"31.10.2020, 08:46:29",Castelli Paris-Roubaix Challenge,false
"31.10.2020, 08:46:33",November Cycling Distance Challenge,false
"31.10.2020, 08:46:36",November Walk Challenge,false
"31.10.2020, 14:03:52",Le Col Rise Above Winter Challenge,true
"31.10.2020, 14:03:54",Point to Pinnacle Vertical Challenge,false
"02.11.2020, 06:42:45",FUTURUM 4 SEASONS CHALLENGE,true
"02.11.2020, 10:29:46",Thriva Bleed for Speed,true
"06.11.2020, 08:58:49",Desafio PRO Training Camp - Correndo em busca do KOM/QOM,false
"06.11.2020, 08:58:50",Desafio PRO Training Camp - Pedal em busca do KOM/QOM,false
"11.11.2020, 17:44:47",Montane Cheviot Goat Ultra,false
"15.11.2020, 15:24:15",The Rapha Black Friday Ride,true
"15.11.2020, 15:24:31",The Jumbo Feed Your Speed Challenge,false
"16.11.2020, 06:41:32",Desafio Corrida no Ar 200k,false
"20.11.2020, 13:43:59","fizik ride now, shop later",true
"21.11.2020, 07:50:10",Desafio Carb Up,true
"24.11.2020, 06:02:55",Allbirds Holiday Challenge,true
"24.11.2020, 06:03:06",New Balance 2x2 Challenge,true
"24.11.2020, 06:03:16",Vuori ACTV Club Challenge,true
"24.11.2020, 06:03:17",MAAP: In The Field,false
