Beitrittsdatum,Name des Clubs
"24.08.2018, 21:03:54",Berglauf Pfälzerwald
"24.08.2018, 21:04:37",Speyrer Läufer
"25.09.2018, 19:48:37",GOREWEAR
"15.03.2019, 18:14:21",Run with the Flow
"23.03.2019, 11:07:26",Red Bull Deutschland
"26.08.2019, 11:26:47",SAP Run Simple 🏃
"26.08.2019, 11:27:05",LandauRunningCompany
"11.11.2019, 13:59:33",Speyer Leinpfad parkrun
"24.04.2020, 05:39:34",Strava Deutschland
"26.04.2020, 13:50:28",The Strava Club
"04.06.2020, 15:11:45",NCT-LAUFend gegen Krebs: Alleine. Zusammen!
"31.08.2020, 18:06:37",Run 100km in September
"28.10.2020, 11:01:34",Great Day For A Run
"02.11.2020, 06:43:55",200km in single day
"20.11.2020, 13:44:07",adidas Running
"24.11.2020, 06:02:48",KellerSprinter
"24.11.2020, 06:04:09",Polar - Running
"04.12.2020, 13:09:14",2025 Challenge
"04.12.2020, 13:09:15",2026 Challenge
"14.12.2020, 13:10:05",Bike Beer
"14.12.2020, 13:11:10",Local Legends
"24.12.2020, 23:06:12",Ultra X RC
"26.12.2020, 18:28:38",Ride 2024 Km in 2024
"02.01.2021, 19:02:57",Ride 6000 Kms Challenge
"02.01.2021, 19:02:58",2.021 km in 2021
"05.01.2021, 17:19:09",Generali München Marathon
"05.01.2021, 17:19:11",Wings for Life World Run
"12.01.2021, 11:49:42",Gravel Heidelberg
"20.01.2021, 17:15:02",adidas Runners Hamburg
"20.03.2021, 01:38:29",Adidas
"31.01.2021, 09:09:26",HOKA
"13.02.2021, 16:54:16",Rapha Challenge Club
"21.03.2021, 19:44:27",Coretex Records X Broken Bootlegs
"09.04.2021, 19:57:48",Wings for Life World Run
"11.04.2021, 10:32:38",Running Vorderpfalz
"11.04.2021, 10:32:47",BeginnerTrails
"25.04.2021, 12:38:39",Brooks Running
"01.05.2021, 11:55:50",Zwift Riders
"01.05.2021, 11:55:54",quäldich
"01.05.2021, 11:56:13",Dürkheimer Läufer
"26.05.2021, 20:05:03",Powerbar
"26.05.2021, 20:05:05",Salomon Running
"02.06.2021, 11:01:20",OTE Sports
"01.08.2021, 21:29:25",Strava Runners Baden-Württemberg
"23.10.2021, 17:40:57",Bienwald-Marathon Kandel
"01.02.2022, 08:09:01",TSV@HCS Running Cup
"22.02.2022, 22:30:11",Rapha Cycling Club (RCC)
"31.07.2022, 15:48:46",IRONMAN
"31.07.2022, 15:48:47",ROKA
"31.07.2022, 15:48:48",World Triathlon
"02.10.2022, 13:58:44",Altra Running Europe
"14.04.2023, 05:06:11",two peaks endurance Club
"25.07.2023, 15:53:02",Ultra Running Community
"22.10.2023, 06:49:07",Vuori
"01.11.2023, 15:19:29",UltraSignup
"21.11.2023, 16:02:02",Brooks Running Europe
"27.12.2023, 22:47:27",SAP Cycling Club
