Reaktionsdatum,Reaktionstyp,Übergeordneter Typ,Übergeordnete ID
"02.09.2018, 08:58:35",Kudos,Aktivität,1808240130
"09.09.2018, 13:50:11",Kudos,Aktivität,1828063767
"11.09.2018, 18:48:47",Kudos,Aktivität,1834991126
"14.09.2018, 09:26:50",Kudos,Aktivität,1826944682
"17.09.2018, 06:10:35",Kudos,Aktivität,1845421689
"23.09.2018, 12:59:39",Kudos,Aktivität,1860409713
"23.09.2018, 12:59:46",Kudos,Aktivität,1860300260
"27.09.2018, 17:33:39",Kudos,Aktivität,1868789582
"27.09.2018, 17:34:03",Kudos,Aktivität,1868719331
"27.09.2018, 17:35:33",Kudos,Aktivität,1864515913
"29.09.2018, 18:46:20",Kudos,Aktivität,1872883540
"29.09.2018, 18:46:38",Kudos,Aktivität,1873056605
"03.10.2018, 07:58:42",Kudos,Aktivität,1878959817
"07.10.2018, 19:08:21",Kudos,Aktivität,1889654137
"09.10.2018, 13:26:56",Kudos,Aktivität,1892271260
"13.10.2018, 11:42:28",Kudos,Aktivität,1900385510
"20.10.2018, 21:18:14",Kudos,Aktivität,1917141952
"28.10.2018, 20:05:14",Kudos,Aktivität,1932037667
"03.11.2018, 10:37:43",Kudos,Aktivität,1942535371
"12.11.2018, 16:03:47",Kudos,Beitrag,3506079
"23.11.2018, 14:14:18",Kudos,Aktivität,1978230667
"28.11.2018, 17:09:09",Kudos,Aktivität,1985193922
"11.12.2018, 20:57:23",Kudos,Aktivität,2012186616
"11.12.2018, 20:57:25",Kudos,Aktivität,2012186185
"26.12.2018, 09:42:35",Kudos,Aktivität,2034280897
"26.12.2018, 09:42:45",Kudos,Aktivität,2031194868
"26.12.2018, 09:43:00",Kudos,Aktivität,2033769587
"28.12.2018, 20:50:41",Kudos,Aktivität,2039838193
"28.12.2018, 20:50:54",Kudos,Aktivität,2036553028
"05.01.2019, 21:59:04",Kudos,Aktivität,2056317334
"07.01.2019, 21:20:02",Kudos,Aktivität,2061137417
"07.01.2019, 21:20:12",Kudos,Aktivität,2060890907
"10.01.2019, 15:13:13",Kudos,Aktivität,2039009455
"19.01.2019, 21:22:21",Kudos,Aktivität,2086971989
"19.01.2019, 21:22:42",Kudos,Aktivität,2089634116
"19.01.2019, 21:22:53",Kudos,Aktivität,2086992752
"06.02.2019, 19:44:11",Kudos,Aktivität,2124813360
"06.02.2019, 19:44:36",Kudos,Aktivität,2118788554
"15.02.2019, 07:55:34",Kudos,Aktivität,2148254359
"20.02.2019, 10:52:47",Kudos,Aktivität,2156587682
